geometry,distance_along_m,heading
POINT (-65.639697 49.244429),610.5334922162756,47.94627421859536
POINT (-65.63952549999999 49.24453),627.3304760602431,47.946215925328374
POINT (-65.639354 49.244631),644.1274400786193,44.677422054842566
POINT (-65.639173 49.244750499999995),662.845170139368,44.67735272636304
POINT (-65.638992 49.24487),681.5628767972796,41.39026715010641
POINT (-65.638965 49.24489),684.531597229781,41.39025565669465
POINT (-65.638938 49.24491),687.5003171127267,40.924623073626094
POINT (-65.6388125 49.2450045),701.4279094665928,40.92456880071984
POINT (-65.638687 49.245099),715.3554898848976,36.56497696276858
POINT (-65.6385535 49.2452165),731.6428828025946,36.56491172366964
POINT (-65.63842 49.245334),747.9302613881476,33.53619653168903
POINT (-65.63802150000001 49.2457265),800.3483086580168,33.53598679835784
POINT (-65.637623 49.246119),852.7662235446533,33.63513079250788
POINT (-65.637463 49.246276),873.7575682858827,33.635046774223156
POINT (-65.637303 49.246433),894.7488917074127,39.812997556695336
POINT (-65.6370655 49.246619),921.7119934741052,39.81289140373809
POINT (-65.636828 49.246805),948.6750518017794,44.149917604776704
POINT (-65.63665549999999 49.246921),966.6809181354554,44.149850324557235
POINT (-65.636483 49.247037),984.6867630265428,47.90836483872306
POINT (-65.63629900000001 49.2471455),1002.7177787747673,47.90830221189077
POINT (-65.636115 49.247254),1020.7487716892987,50.051347276375736
POINT (-65.6359065 49.247367999999994),1040.5284546019393,50.05128215463844
POINT (-65.635698 49.247482),1060.308109394788,53.37232606387738
POINT (-65.63546 49.2475975),1081.8794720130622,53.372261887967056
POINT (-65.635222 49.247713),1103.4508005048563,56.71411225574673
POINT (-65.6350575 49.2477835),1117.7666611852694,56.714074720437736
POINT (-65.634893 49.247854),1132.0825068238214,56.47618121457771
POINT (-65.6343415 49.2480925),1180.2084157621996,56.476053783343616
POINT (-65.63379 49.248331),1228.3341546121344,55.906286827145266
POINT (-65.63359650000001 49.248416500000005),1245.3319569134678,55.90624077287498
POINT (-65.633403 49.248502),1262.3297379759342,55.844466709188225
POINT (-65.632869 49.2487385),1309.2722646811892,55.84433919373765
POINT (-65.632335 49.248975),1356.2146293821495,50.70102049929568
POINT (-65.6319775 49.249166),1389.8123244809267,50.70091185738579
POINT (-65.63162 49.249357),1423.4099380038608,47.139855478964535
POINT (-65.63128900000001 49.2495575),1456.244053685705,47.13973945968576
POINT (-65.630958 49.249758),1489.0780944231626,44.50321866911338
POINT (-65.630757 49.249891500000004),1509.9258872741023,44.503141213688195
POINT (-65.630556 49.250025),1530.773651184262,44.717902001897414
POINT (-65.6304665 49.250084),1540.021494069935,44.71786776852923
POINT (-65.630377 49.250143),1549.2693312395404,42.70154881973008
POINT (-65.629873 49.250499500000004),1603.2939811147564,42.7013426128276
POINT (-65.629369 49.250856),1657.3184436577621,47.46330779240765
POINT (-65.629187 49.250965),1675.278214994664,47.46324477261555
POINT (-65.629005 49.251074),1693.2379638095815,51.91347743609413
POINT (-65.6288105 49.2511735),1711.2100851805817,51.91342136817991
POINT (-65.628616 49.251273),1729.1821830167423,57.49005238155803
POINT (-65.62830349999999 49.251402999999996),1756.1396773316576,57.48998399539647
POINT (-65.627991 49.251533),1783.0971184542168,63.97736367159689
POINT (-65.6279455 49.2515475),1786.7814955248057,63.97735703183298
POINT (-65.6279 49.251562),1790.4658716655974,63.35579851933795
POINT (-65.62761449999999 49.2516555),1813.7081685802518,63.35575502016354
POINT (-65.627329 49.251749),1836.950428154631,68.46023747664685
POINT (-65.6271 49.251808),1854.8678226087263,68.4602140911964
POINT (-65.626871 49.251867),1872.785197177915,73.60146938001611
POINT (-65.626517 49.251935),1899.6451289668883,73.60144800488365
POINT (-65.626163 49.252003),1926.5050235318502,79.15887874417899
POINT (-65.625923 49.252033),1944.2940467637193,79.15887231204204
POINT (-65.625683 49.252063),1962.0830581302341,83.53868703477343
POINT (-65.6254395 49.252081000000004),1979.923839886499,83.53868470325779
POINT (-65.625196 49.252099),1997.764613748618,87.66284501921143
POINT (-65.62495200000001 49.2521055),2015.5438097953781,87.66284471081121
POINT (-65.624708 49.252112),2033.3230020282,89.58391583301903
POINT (-65.62449699999999 49.252112999999994),2048.6853164486624,89.5839158205934
POINT (-65.624286 49.252114),2064.0476294508676,91.90791509073006
POINT (-65.6231365 49.252089),2147.783456383664,91.9079141254698
POINT (-65.621987 49.252064),2231.5192927446305,89.4819332924821
POINT (-65.6210545 49.2520695),2299.4129534619124,89.4819332350649
POINT (-65.620122 49.252075),2367.3065850419857,86.79062761639437
POINT (-65.61965749999999 49.252092),2401.177411561433,86.79062651339575
POINT (-65.619193 49.252109),2435.0482211127587,86.69125903290359
POINT (-65.6191135 49.252112),2440.845838686752,86.69125882177411
POINT (-65.619034 49.252115),2446.643455753428,84.15530859737328
POINT (-65.618353 49.2521605),2496.4813041812913,84.15530324599979
POINT (-65.617672 49.252206),2546.319095680746,84.86281413782888
POINT (-65.61666650000001 49.252265),2619.817937689074,84.86280803036937
POINT (-65.615661 49.252324),2693.316667575821,87.63795286819135
POINT (-65.614175 49.252364),2801.595864730265,87.63795095622788
POINT (-65.612689 49.252404),2909.8749197507077,82.96833652424436
POINT (-65.612099 49.2524515),2953.153226395239,82.96832982781552
POINT (-65.611509 49.252499),2996.4314834272695,78.06324554971843
POINT (-65.611201 49.2525415),3019.3480031576623,78.0632355689014
POINT (-65.610893 49.252584),3042.2645016425386,76.04797000941653
POINT (-65.6108375 49.252593000000005),3046.427274709068,76.04796757931229
POINT (-65.610782 49.252602),3050.5900469837975,75.35025713768124
POINT (-65.6105505 49.2526415),3068.007361642615,75.35024591740859
POINT (-65.610319 49.252681),3085.424661915092,71.79984186765955
POINT (-65.6099835 49.252753),3111.129565482945,71.7998170667181
POINT (-65.609648 49.252825),3136.8344323642295,66.14441468492942
POINT (-65.6091595 49.252966),3175.703003533965,66.14435415156765
POINT (-65.608671 49.253107),3214.5714756316042,69.30496748251869
POINT (-65.60834249999999 49.253188),3240.1278481719028,69.30493640015584
POINT (-65.608014 49.253269),3265.6841812509624,74.54580842254336
POINT (-65.607748 49.253317),3285.772174872612,74.5457941134984
POINT (-65.607482 49.253365),3305.860148574418,79.62256322555777
POINT (-65.607185 49.2534005),3327.840155843748,79.62255592649899
POINT (-65.606888 49.253436),3349.820145636129,84.50399594263695
POINT (-65.6065775 49.2534555),3372.529234056849,84.50399378394485
